,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
122,2,2,3,0,0,0,0,2,0,0
123,2,2,3,0,0,0,0,2,0,0
124,2,2,3,0,0,0,0,2,0,0
125,2,2,3,0,0,0,0,2,0,0
126,2,2,3,0,0,0,0,2,0,0
127,2,2,3,0,0,0,0,2,0,0
128,2,2,3,0,0,0,0,2,0,0
129,2,2,3,0,0,0,0,2,0,0
130,2,2,3,0,0,0,0,2,0,0
131,2,2,3,0,0,0,0,2,0,0
132,2,2,3,0,0,0,0,2,0,0
133,2,2,3,0,0,0,0,2,0,0
134,2,2,3,0,0,0,0,2,0,0
135,2,2,3,0,0,0,0,2,0,0
136,2,2,3,0,0,0,0,2,0,0
137,2,2,3,0,0,0,0,2,0,0
138,2,2,3,0,0,0,0,2,0,0
139,2,2,3,0,0,0,0,2,0,0
140,2,2,3,0,0,0,0,2,0,0
141,2,2,3,0,0,0,0,2,0,0
142,2,2,3,0,0,0,0,2,0,0
143,2,2,3,0,0,0,0,2,0,0
144,2,2,3,0,0,0,0,2,0,0
145,2,2,3,0,0,0,0,2,0,0
146,2,2,3,0,0,0,0,2,0,0
147,2,2,3,0,0,0,0,2,0,0
148,2,2,3,0,0,0,0,2,0,0
149,2,2,3,0,0,0,0,2,0,0
150,2,2,3,0,0,0,0,2,0,0
151,2,2,3,0,0,0,0,2,0,0
152,2,2,3,0,0,0,0,2,0,0
153,2,2,3,0,0,0,0,2,0,0
154,2,2,3,0,0,0,0,2,0,0
155,2,2,3,0,0,0,0,2,0,0
156,2,2,3,0,0,0,0,2,0,0
157,2,2,3,0,0,0,0,2,0,0
158,2,2,3,0,0,0,0,2,0,0
159,2,2,3,0,0,0,0,2,0,0
160,2,2,3,0,0,0,0,2,0,0
161,2,2,3,0,0,0,0,2,0,0
162,2,2,3,0,0,0,0,2,0,0
163,2,2,3,0,0,0,0,2,0,0
164,2,2,3,0,0,0,0,2,0,0
165,2,2,3,0,0,0,0,2,0,0
166,2,2,3,0,0,0,0,2,0,0
167,2,2,3,0,0,0,0,2,0,0
168,2,2,3,0,0,0,0,2,0,0
169,2,2,3,0,0,0,0,2,0,0
170,2,2,3,0,0,0,0,2,0,0
171,2,2,3,0,0,0,0,2,0,0
172,2,2,3,0,0,0,0,2,0,0
173,2,2,3,0,0,0,0,2,0,0
174,2,2,3,0,0,0,0,2,0,0
175,2,2,3,0,0,0,0,2,0,0
176,2,2,3,0,0,0,0,2,0,0
177,2,2,3,0,0,0,0,2,0,0
178,2,2,3,0,0,0,0,2,0,0
179,2,2,3,0,0,0,0,2,0,0
180,2,2,3,0,0,0,0,2,0,0
181,2,2,3,0,0,0,0,2,0,0
182,2,2,3,0,0,0,0,2,0,0
183,2,2,3,0,0,0,0,2,0,0
184,2,2,3,0,0,0,0,2,0,0
185,2,2,3,0,0,0,0,2,0,0
186,2,2,3,0,0,0,0,2,0,0
187,2,2,3,0,0,0,0,2,0,0
188,2,2,3,0,0,0,0,2,0,0
189,2,2,3,0,0,0,0,2,0,0
190,2,2,3,0,0,0,0,2,0,0
191,2,2,3,0,0,0,0,2,0,0
192,2,2,3,0,0,0,0,2,0,0
193,2,2,3,0,0,0,0,2,0,0
194,2,2,3,0,0,0,0,2,0,0
195,2,2,3,0,0,0,0,2,0,0
196,2,2,3,0,0,0,0,2,0,0
197,2,2,3,0,0,0,0,2,0,0
198,2,2,3,0,0,0,0,2,0,0
199,2,2,3,0,0,0,0,2,0,0
200,2,2,3,0,0,0,0,2,0,0
201,2,2,3,0,0,0,0,2,0,0
202,2,2,3,0,0,0,0,2,0,0
203,2,2,3,0,0,0,0,2,0,0
204,2,2,3,0,0,0,0,2,0,0
205,2,2,3,0,0,0,0,2,0,0
206,2,2,3,0,0,0,0,2,0,0
207,2,2,3,0,0,0,0,2,0,0
208,2,2,3,0,0,0,0,2,0,0
209,2,2,3,0,0,0,0,2,0,0
210,2,2,3,0,0,0,0,2,0,0
211,2,2,3,0,0,0,0,2,0,0
212,2,2,3,0,0,0,0,2,0,0
213,2,2,3,0,0,0,0,2,0,0
214,2,2,3,0,0,0,0,2,0,0
215,2,2,3,0,0,0,0,2,0,0
216,2,2,3,0,0,0,0,2,0,0
217,2,2,3,0,0,0,0,2,0,0
218,2,2,3,0,0,0,0,2,0,0
219,2,2,3,0,0,0,0,2,0,0
220,2,2,3,0,0,0,0,2,0,0
221,2,2,3,0,0,0,0,2,0,0
222,2,2,3,0,0,0,0,2,0,0
223,2,2,3,0,0,0,0,2,0,0
224,2,2,3,0,0,0,0,2,0,0
225,2,2,3,0,0,0,0,2,0,0
226,2,2,3,0,0,0,0,2,0,0
227,2,2,3,0,0,0,0,2,0,0
228,2,2,3,0,0,0,0,2,0,0
229,2,2,3,0,0,0,0,2,0,0
230,2,2,3,0,0,0,0,2,0,0
231,2,2,3,0,0,0,0,2,0,0
232,2,2,3,0,0,0,0,2,0,0
233,2,2,3,0,0,0,0,2,0,0
234,2,2,3,0,0,0,0,2,0,0
235,2,2,3,0,0,0,0,2,0,0
236,2,2,3,0,0,0,0,2,0,0
237,2,2,3,0,0,0,0,2,0,0
238,2,2,3,0,0,0,0,2,0,0
239,2,2,3,0,0,0,0,2,0,0
240,2,2,3,0,0,0,0,2,0,0
241,2,2,3,0,0,0,0,2,0,0
242,2,2,3,0,0,0,0,2,0,0
243,2,2,3,0,0,0,0,2,0,0
244,2,2,3,0,0,0,0,2,0,0
245,2,2,3,0,0,0,0,2,0,0
246,2,2,3,0,0,0,0,2,0,0
247,2,2,3,0,0,0,0,2,0,0
248,2,2,3,0,0,0,0,2,0,0
249,2,2,3,0,0,0,0,2,0,0
250,2,2,3,0,0,0,0,2,0,0
